OGLE-LMC-T2CEP-136  BLHer  05:29:48.10 -69:35:32.0  LMC516.31.403    LMC169.5.84583                  
OGLE-LMC-T2CEP-137   WVir  05:30:03.55 -69:38:02.8  LMC516.23.43447  LMC169.5.17594                  
OGLE-LMC-T2CEP-138  BLHer  05:30:10.86 -68:49:17.1  LMC517.13.42554  LMC167.8.51132                  
OGLE-LMC-T2CEP-139   WVir  05:30:22.57 -69:09:12.1  LMC517.05.53091  LMC168.6.64199                  
OGLE-LMC-T2CEP-140  BLHer  05:30:22.71 -69:15:38.6  LMC517.05.34762  LMC168.7.73740                  
OGLE-LMC-T2CEP-141  BLHer  05:30:23.32 -71:39:00.6  LMC515.06.5963   LMC172.7.28618                  
OGLE-LMC-T2CEP-142  BLHer  05:30:34.91 -68:06:15.3  LMC517.30.9695   LMC166.7.20097                  
OGLE-LMC-T2CEP-143   WVir  05:31:09.75 -69:15:48.9  LMC517.05.135    LMC168.7.73446                  
OGLE-LMC-T2CEP-144  BLHer  05:31:19.82 -68:51:54.8  LMC517.12.31696  LMC167.8.59384                  
OGLE-LMC-T2CEP-145  BLHer  05:31:46.43 -68:58:44.0  LMC517.12.25342  LMC168.5.70191                  
OGLE-LMC-T2CEP-146   WVir  05:31:48.02 -68:49:12.0  LMC517.12.38643  LMC167.1.26246                  
OGLE-LMC-T2CEP-147  RVTau  05:31:51.01 -69:11:46.3  LMC517.04.40942  LMC168.6.32838                  LMV504 HV2635
OGLE-LMC-T2CEP-148  BLHer  05:31:52.26 -69:30:26.4  LMC516.30.9604   LMC168.8.40656  LMC_SC2_310497  
OGLE-LMC-T2CEP-149  RVTau  05:32:54.46 -69:35:13.2  LMC516.29.3      LMC169.4.50638                  
OGLE-LMC-T2CEP-151   WVir  05:34:35.73 -69:59:14.9  LMC516.11.88830  LMC169.2.39278                  
OGLE-LMC-T2CEP-152   WVir  05:34:37.57 -70:01:08.5  LMC516.11.74196  LMC169.1.98952                  
OGLE-LMC-T2CEP-153  BLHer  05:34:45.06 -71:08:59.9  LMC515.20.574D   LMC171.2.7699                   
OGLE-LMC-T2CEP-154  pWVir  05:35:17.89 -70:54:57.2  LMC515.20.49581  LMC171.3.53717                  
OGLE-LMC-T2CEP-155   WVir  05:35:28.78 -70:47:44.1  LMC515.28.33066  LMC171.4.19217                  
OGLE-LMC-T2CEP-156   WVir  05:36:01.53 -71:00:11.2  LMC515.20.6141   LMC171.3.27641                  
OGLE-LMC-T2CEP-157   WVir  05:36:02.60 -69:27:16.0  LMC516.27.38757  LMC175.8.52054                  
OGLE-LMC-T2CEP-158   WVir  05:36:08.74 -68:24:00.0  LMC517.19.17135  LMC174.5.288                    
OGLE-LMC-T2CEP-159   WVir  05:36:42.14 -69:31:11.8  LMC516.27.6839   LMC175.8.11378                  
OGLE-LMC-T2CEP-160  BLHer  05:37:13.66 -70:50:55.2  LMC515.19.6480D  LMC178.5.495                    
OGLE-LMC-T2CEP-161   WVir  05:37:44.39 -71:11:45.4  LMC515.10.20972  LMC178.8.34938                  
OGLE-LMC-T2CEP-162  RVTau  05:37:44.95 -69:54:16.5  LMC516.18.28902  LMC176.7.71062                  CV474
OGLE-LMC-T2CEP-163  BLHer  05:37:53.48 -68:20:54.9  LMC554.16.670    LMC173.1.624                    
OGLE-LMC-T2CEP-165  BLHer  05:38:15.28 -69:28:57.1  LMC516.26.4441   LMC175.8.33878                  
OGLE-LMC-T2CEP-166  BLHer  05:38:29.10 -69:45:06.3  LMC516.18.15957  LMC176.6.66816                  
OGLE-LMC-T2CEP-167  BLHer  05:39:02.54 -69:37:38.5  LMC516.18.23554  LMC176.4.273                    
OGLE-LMC-T2CEP-168   WVir  05:39:09.07 -68:19:30.0  LMC554.15.124    LMC173.1.14300                  
OGLE-LMC-T2CEP-169  RVTau  05:39:32.81 -71:21:54.3  LMC515.09.32368  LMC179.5.32048                  HV12631
OGLE-LMC-T2CEP-170   WVir  05:39:38.12 -68:48:25.0  LMC517.08.8766   LMC174.2.623                    
OGLE-LMC-T2CEP-171  BLHer  05:39:40.96 -69:58:01.3  LMC516.08.56985  LMC176.2.592    LMC_SC17_231021 
OGLE-LMC-T2CEP-172   WVir  05:39:44.42 -70:08:21.8  LMC516.08.37980  LMC177.4.49125  LMC_SC17_221134 
OGLE-LMC-T2CEP-173   WVir  05:39:49.93 -69:50:52.9  LMC516.17.26491  LMC176.2.39112  LMC_SC17_237748 
OGLE-LMC-T2CEP-174  RVTau  05:40:00.50 -69:42:14.7  LMC516.17.38363  LMC176.3.38008                  LMV621 HV2764
OGLE-LMC-T2CEP-175   WVir  05:40:03.86 -68:33:09.8  LMC554.06.265    LMC174.3.20509                  
OGLE-LMC-T2CEP-176   WVir  05:40:09.87 -68:02:05.7  LMC554.23.269    LMC173.3.13562                  
OGLE-LMC-T2CEP-177   WVir  05:40:36.55 -69:13:04.4  LMC553.24.5201   LMC175.3.9979                   
OGLE-LMC-T2CEP-178   WVir  05:42:19.01 -70:24:08.0  LMC552.24.7453   LMC177.3.39980  LMC_SC18_185847 
OGLE-LMC-T2CEP-179   WVir  05:43:04.02 -70:01:33.6  LMC552.31.49168  LMC184.8.990                    
OGLE-LMC-T2CEP-180  RVTau  05:43:12.86 -68:33:57.2  LMC554.05.47     LMC182.6.23541                  
OGLE-LMC-T2CEP-181  pWVir  05:43:37.42 -70:38:04.9  LMC552.14.17744  LMC185.8.44861  LMC_SC19_74281  
OGLE-LMC-T2CEP-182   WVir  05:43:46.89 -70:42:36.5  LMC552.14.8055   LMC185.8.11623                  
OGLE-LMC-T2CEP-183   WVir  05:44:32.99 -69:48:21.8  LMC553.05.6381   LMC184.6.39328                  
OGLE-LMC-T2CEP-184   WVir  05:45:00.19 -69:36:21.7  LMC553.12.1155D  LMC184.5.35563                  
OGLE-LMC-T2CEP-185   WVir  05:45:13.73 -69:51:38.8  LMC553.04.19998  LMC184.7.43248                  
OGLE-LMC-T2CEP-186   WVir  05:45:15.22 -68:48:52.4  LMC553.29.21134  LMC182.1.205                    
OGLE-LMC-T2CEP-187  BLHer  05:46:01.75 -69:45:29.7  LMC553.04.11388  LMC184.3.452                    
